R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
0.55,0.56,0.48,0.56,0.31,0.32,0.46,0.89,1.27,0.69,0.6,1.55,0.5,0.33,0.35,0.45,0.73,0.25,Bacteria,Bacteroidota,Labilibacter
0.41,0.45,0.19,0.46,0.76,0.53,0.23,0.12,0.16,0.15,0.16,0.23,1.21,1.36,1.19,0.65,0.34,2.1,Bacteria,Verrucomicrobiota,DEV007
0.56,0.37,1.85,0.66,0.25,0.18,1,1.46,1.53,0.87,0.59,0.41,0.14,0.04,0.08,0.13,0.03,0.03,Bacteria,Bacteroidota,Lentimicrobiaceae
0.32,0.41,0.29,0.49,0.39,0.39,1.06,1.13,1.32,1.08,1.31,0.95,0.08,0.1,0.11,0.07,0.21,0.04,Bacteria,Proteobacteria,Shewanella
0.12,0.25,0.42,0.22,0.16,0.12,0.39,1.49,0.42,0.16,0.48,0.97,0.66,0.48,1.12,1.14,0.74,0.3,Bacteria,Proteobacteria,Agarivorans
0.47,0.68,0.12,0.27,0.39,0.59,0.68,0.25,0.39,0.41,0.72,0.47,1.07,0.48,0.34,0.82,0.18,0.89,Bacteria,Proteobacteria,Kordiimonadales
0.19,0.22,0.17,0.3,0.3,0.3,1.03,0.74,0.82,0.79,1.1,1.74,0.11,0.2,0.21,0.24,0.52,0.18,Bacteria,Proteobacteria,Alkalimarinus
0.77,0.72,1.61,0.91,0.49,0.5,0.2,2.71,0.27,0.13,0.17,0.11,0.07,0.24,0.08,0.13,0,0.04,Bacteria,Firmicutes,Clostridia
0.19,0.3,0.94,0.56,0.08,0.17,0.43,4.81,0.65,0.38,0.25,0.11,0.04,0,0,0,0.01,0,Bacteria,Firmicutes,Clostridia vadinBB60 group
0.32,0.3,0.09,0.3,0.37,0.37,0.4,0.21,0.38,0.57,0.54,0.61,0.76,0.41,0.77,0.67,1,0.56,Bacteria,Bacteroidota,Cryomorphaceae
